MJ文字図形名,読み
MJ000001,おなじ
MJ000001,くりかえし
MJ000001,のま
MJ000002,しめ
MJ000004,キュウ
MJ000004,おか
MJ000005,テン
MJ000006,キ
MJ000006,よろこぶ
MJ000007,カ
MJ000007,ケ
MJ000007,クワ
MJ000008,カ
MJ000008,ケ
MJ000009,ゴ
MJ000011,イ
MJ000012,イ
MJ000012,ショク
MJ000013,ケツ
MJ000013,ゲチ
MJ000015,キュウ
MJ000015,グ
MJ000016,ジュ
MJ000017,タン
MJ000017,キュウ
MJ000018,ダイ
MJ000018,テイ
MJ000018,ただ
MJ000018,ついで
MJ000018,やしき
MJ000020,ショ
MJ000020,ジョ
MJ000021,キョウ
MJ000021,ゴ
MJ000022,ガイ
MJ000022,い
MJ000023,ガイ
MJ000023,い
MJ000025,リュウ
MJ000025,ル
MJ000025,コウ
MJ000025,トツ
MJ000026,リン
MJ000026,くら
MJ000027,ジョウ
MJ000027,ショウ
MJ000027,ソウ
MJ000028,ジョウ
MJ000028,はらう
MJ000029,ジョウ
MJ000029,ショウ
MJ000029,はらう
MJ000029,わりこむ
MJ000029,のぼる
MJ000029,たかい
MJ000029,ゆずる
MJ000030,ヨウ
MJ000030,あげる
MJ000031,シン
MJ000032,シン
MJ000033,フク
MJ000033,タイ
MJ000033,ダイ
MJ000033,ふせる
MJ000033,ふす
MJ000034,ゴツ
MJ000035,ハン
MJ000038,ケン
MJ000039,キツ
MJ000040,ギン
MJ000040,シュウ
MJ000041,ダイ
MJ000041,ネ
MJ000042,ショウ
MJ000045,シュツ
MJ000045,シュチ
MJ000045,チュツ
MJ000045,チュチ
MJ000046,チュツ
MJ000047,ホウ
MJ000048,ホウ
MJ000048,さまよう
MJ000048,にる
MJ000049,オウ
MJ000050,ブ
MJ000051,サク
MJ000053,シュク
MJ000054,エキ
MJ000054,ヤク
MJ000055,キュウ
MJ000055,ク
MJ000056,オウ
MJ000057,ライ
MJ000057,レ
MJ000059,ドウ
MJ000059,ノウ
MJ000060,シュク
MJ000061,サン
MJ000062,セン
MJ000062,みな
MJ000063,シュン
MJ000063,すぐれる
MJ000064,シン
MJ000065,カイ
MJ000066,チョウ
MJ000067,ダ
MJ000068,ソク
MJ000068,ショク
MJ000069,テイ
MJ000069,エイ
MJ000069,セツ
MJ000069,セチ
MJ000070,ヨウ
MJ000071,ホウ
MJ000071,ヒョウ
MJ000072,ラン
MJ000073,ボウ
MJ000074,ボウ
MJ000075,イ
MJ000075,シ
MJ000076,レイ
MJ000076,ライ
MJ000077,キ
MJ000077,おそれる
MJ000078,また
MJ000079,サイ
MJ000079,ザイ
MJ000079,セイ
MJ000080,コン
MJ000080,ゴン
MJ000081,シュ
MJ000082,ショウ
MJ000083,シュウ
MJ000083,シュ
MJ000083,ス
MJ000083,ドウ
MJ000083,ノウ
MJ000084,シン
MJ000085,シツ
MJ000085,ねたむ
MJ000086,キ
MJ000086,ケ
MJ000087,タイ
MJ000088,ヨウ
MJ000089,カイ
MJ000089,エ
MJ000089,あう
MJ000090,バツ
MJ000090,マチ
MJ000091,リャク
MJ000092,トウ
MJ000093,ヨウ
MJ000094,ソウ
MJ000094,ジョウ
MJ000095,タク
MJ000095,チャク
MJ000095,タ
MJ000095,チャ
MJ000096,グ
MJ000097,チャク
MJ000098,ジ
MJ000099,ゼン
MJ000099,ネン
MJ000099,セン
MJ000100,ケイ
MJ000101,キュウ
MJ000102,ブ
MJ000103,カン
MJ000104,ショウ
MJ000105,シュウ
MJ000106,シュウ
MJ000107,シ
MJ000108,ケイ
MJ000109,ルイ
MJ000110,ソウ
MJ000111,カイ
MJ000111,エ
MJ000112,ボク
MJ000112,しもべ
MJ000113,タツ
MJ000113,タチ
MJ000114,トク
MJ000114,ドク
MJ000114,ショク
MJ000114,ゾク
MJ000115,オウ
MJ000116,ゴウ
MJ000117,ベン
MJ000117,メン
MJ000118,イン
MJ000118,オン
MJ000119,チョウ
MJ000119,ジョウ
MJ000120,ヨ
MJ000121,ベツ
MJ000121,メチ
MJ000121,バツ
MJ000121,マチ
MJ000122,シュン
MJ000122,すぐれる
MJ000123,ジョウ
MJ000123,ニョウ
MJ000124,カイ
MJ000124,ガイ
MJ000125,ユウ
MJ000125,ユ
MJ000126,ショウ
MJ000127,フウ
MJ000127,フ
MJ000128,ルイ
MJ000128,ライ
MJ000129,レイ
MJ000130,レイ
MJ000131,セン
MJ000132,ラ
MJ000133,セキ
MJ000134,キ
MJ000135,コン
MJ000136,ヨウ
MJ000137,ゼン
MJ000137,セン
MJ000137,まったく
MJ000138,サイ
MJ000138,くれる
MJ000139,リョウ
MJ000139,ふたつ
MJ000140,コツ
MJ000141,ボウ
MJ000142,ク
MJ000142,コウ
MJ000142,シュ
MJ000142,ショウ
MJ000143,スイ
MJ000143,ズイ
MJ000144,スイ
MJ000144,ズイ
MJ000145,テン
MJ000146,テン
MJ000147,ム
MJ000147,ボウ
MJ000147,モウ
MJ000147,あみ
MJ000148,ボウ
MJ000148,モウ
MJ000148,ボク
MJ000148,モク
MJ000150,バン
MJ000150,マン
MJ000150,ベン
MJ000150,メン
MJ000151,ケン
MJ000152,シ
MJ000152,イ
MJ000153,リ
MJ000154,あみがしら
MJ000154,ボウ
MJ000154,モウ
MJ000154,あみ
MJ000155,コウ
MJ000156,ト
MJ000156,ツ
MJ000156,タ
MJ000157,タ
MJ000157,ツ
MJ000157,テ
MJ000157,ト
MJ000157,おく
MJ000158,チン
MJ000159,テイ
MJ000159,チョウ
MJ000160,ヨク
MJ000162,ヒョウ
MJ000163,カツ
MJ000163,ガチ
MJ000164,トウ
MJ000164,ズ
MJ000165,キョウ
MJ000165,グ
MJ000166,セイ
MJ000166,ショウ
MJ000167,シン
MJ000168,ケイ
MJ000168,キョウ
MJ000169,リク
MJ000169,ロク
MJ000170,ケイ
MJ000170,ギョウ
MJ000171,ダン
MJ000171,ナン
MJ000172,シャ
MJ000172,ジャ
MJ000173,メツ
MJ000173,ベツ
MJ000173,ほろびる
MJ000174,ヒツ
MJ000174,ヒチ
MJ000175,ケツ
MJ000175,いさぎよい
MJ000176,ケツ
MJ000177,ソク
MJ000178,キョウ
MJ000179,コウ
MJ000179,ク
MJ000180,コウ
MJ000180,ク
MJ000181,ヨウ
MJ000181,おさない
MJ000182,ケィ
MJ000182,のり
MJ000183,カツ
MJ000183,カチ
MJ000183,ケイ
MJ000184,カツ
MJ000184,ケイ
MJ000185,カツ
MJ000185,ケチ
MJ000185,ケイ
MJ000185,カイ
MJ000186,ヒ
MJ000187,テン
MJ000188,フウ
MJ000188,フ
MJ000189,ラク
MJ000190,コウ
MJ000190,カツ
MJ000191,カツ
MJ000191,カチ
MJ000192,カン
MJ000192,コン
MJ000193,シ
MJ000194,ケン
MJ000195,ロウ
MJ000196,コ
MJ000196,ク
MJ000197,セツ
MJ000197,ゼチ
MJ000198,チョウ
MJ000200,レイ
MJ000200,ライ
MJ000201,トウ
MJ000201,ズ
MJ000202,ヘン
MJ000202,ベン
MJ000204,テイ
MJ000204,タイ
MJ000205,ゼン
MJ000205,ネン
MJ000206,ガク
MJ000207,ガク
MJ000208,ケツ
MJ000208,ケチ
MJ000209,ケツ
MJ000209,ケチ
MJ000209,きざむ
MJ000210,ギ
MJ000210,ケイ
MJ000210,はなきる
MJ000211,タク
MJ000211,トウ
MJ000211,ツ
MJ000212,セイ
MJ000212,エイ
MJ000212,ケツ
MJ000212,カツ
MJ000213,コン
MJ000213,ケン
MJ000213,ゲン
MJ000214,ゴウ
MJ000214,つよい
MJ000215,シ
MJ000215,セツ
MJ000215,セチ
MJ000215,シツ
MJ000215,シチ
MJ000216,シュウ
MJ000216,ジュ
MJ000217,セイ
MJ000217,サイ
MJ000217,チ
MJ000217,ジ
MJ000218,リョウ
MJ000219,トウ
MJ000220,リン
MJ000221,セツ
MJ000221,セチ
MJ000221,ケツ
MJ000221,ケチ
MJ000222,ショク
MJ000222,ソク
MJ000223,ショウ
MJ000224,サン
MJ000224,ザン
MJ000225,ハツ
MJ000225,ハチ
MJ000226,セン
MJ000226,タン
MJ000227,ガン
MJ000227,カン
MJ000227,ラン
MJ000228,ソウ
MJ000228,ジュ
MJ000228,シュ
MJ000229,サツ
MJ000229,サチ
MJ000229,セイ
MJ000229,セ
MJ000229,サン
MJ000230,セツ
MJ000230,セチ
MJ000230,ギツ
MJ000230,ゴチ
MJ000231,レキ
MJ000231,ラ
MJ000231,リャク
MJ000232,シツ
MJ000232,シチ
MJ000233,ケイ
MJ000233,ゲ
MJ000234,ケン
MJ000234,コン
MJ000235,キツ
MJ000235,ゴチ
MJ000237,ヒ
MJ000237,ビ
MJ000238,チュツ
MJ000239,ホウ
MJ000239,ヒョウ
MJ000240,コウ
MJ000241,ホツ
MJ000242,ホツ
MJ000243,リョウ
MJ000244,カイ
MJ000244,ケ
MJ000245,セイ
MJ000245,いきおい
MJ000246,カツ
MJ000246,ケチ
MJ000249,ヘツ
MJ000249,ヘチ
MJ000250,ライ
MJ000250,レ
MJ000250,ルイ
MJ000251,シン
MJ000252,ハイ
MJ000252,バ
MJ000253,ヨウ
MJ000255,ロ
MJ000255,リョ
MJ000256,ハイ
MJ000256,ヘ
MJ000257,オウ
MJ000258,ロ
MJ000259,サ
MJ000259,ひだり
MJ000260,タク
MJ000261,シ
MJ000262,ダ
MJ000262,ナ
MJ000263,セン
MJ000263,ゼン
MJ000264,コウ
MJ000265,コウ
MJ000265,つね
MJ000266,ユ
MJ000267,ユ
MJ000267,くら
MJ000268,キ
MJ000269,ヨク
MJ000269,ヨキ
MJ000270,ヨク
MJ000270,ヨキ
MJ000271,セン
MJ000272,カン
MJ000272,コン
MJ000272,コウ
MJ000272,ク
MJ000273,ロウ
MJ000273,ル
MJ000274,テイ
MJ000274,タイ
MJ000275,ロク
MJ000276,セイ
MJ000276,セ
MJ000276,よ
MJ000277,セイ
MJ000277,セ
MJ000277,よ
MJ000278,セイ
MJ000278,セ
MJ000278,よ
MJ000279,ヒ
MJ000280,ジュン
MJ000281,ユウ
MJ000282,セツ
MJ000284,ソウ
MJ000285,キャク
MJ000285,しりぞく
MJ000286,ギン
MJ000287,ケイ
MJ000288,シ
MJ000289,コウ
MJ000290,ト
MJ000290,ツ
MJ000290,ゴ
MJ000290,コ
MJ000291,ロウ
MJ000291,リュウ
MJ000292,イ
MJ000292,アイ
MJ000293,コウ
MJ000294,フ
MJ000295,キン
MJ000295,ゴン
MJ000295,ケン
MJ000295,ゲン
MJ000296,ガイ
MJ000296,タク
MJ000296,チャク
MJ000297,タイ
MJ000297,テ
MJ000297,ガン
MJ000297,かり
MJ000298,コウ
MJ000298,オウ
MJ000299,シャ
MJ000300,チュウ
MJ000300,チュ
MJ000300,ズ
MJ000300,ジュ
MJ000300,くりや
MJ000301,ギ
MJ000302,テン
MJ000302,デン
MJ000304,ゲン
MJ000305,ソ
MJ000306,ユウ
MJ000306,ユ
MJ000307,シュン
MJ000307,セン
MJ000308,ソウ
MJ000308,ショウ
MJ000309,ユウ
MJ000310,ユウ
MJ000310,とも
MJ000311,シ
MJ000311,ふみ
MJ000312,シ
MJ000312,ふびと
MJ000312,ふみ
MJ000312,さかん
MJ000313,シ
MJ000314,セツ
MJ000314,セチ
MJ000315,カイ
MJ000315,ケ
MJ000315,キ
MJ000316,ソウ
MJ000317,カク
MJ000317,ガク
MJ000318,カク
MJ000318,ガク
MJ000319,カイ
MJ000319,ガイ
MJ000320,エン
MJ000321,キュウ
MJ000322,シン
MJ000323,カ
MJ000323,ゲ
MJ000323,ゴ
MJ000324,キ
MJ000324,シ
MJ000325,ハン
MJ000326,ホウ
MJ000327,タン
MJ000327,トン
MJ000328,ホウ
MJ000329,コウ
MJ000329,ク
MJ000329,ショウ
MJ000329,シュ
MJ000329,ジュ
MJ000330,オウ
MJ000330,ヨウ
MJ000331,フ
MJ000331,かむ
MJ000332,トツ
MJ000332,どもる
MJ000333,セツ
MJ000333,トツ
MJ000333,ドツ
MJ000333,ナチ
MJ000333,どもる
MJ000334,カク
MJ000335,ユウ
MJ000335,ウ
MJ000336,コウ
MJ000336,ゲチ
MJ000336,ヨウ
MJ000337,キョウ
MJ000337,ク
MJ000338,チン
MJ000339,ボウ
MJ000339,コク
MJ000340,ボク
MJ000341,リュウ
MJ000342,ハツ
MJ000342,ボチ
MJ000342,バチ
MJ000343,キョウ
MJ000344,トウ
MJ000344,ツ
MJ000344,ホウ
MJ000344,フ
MJ000345,コウ
MJ000346,シ
MJ000348,ロツ
MJ000348,ロチ
MJ000349,リン
MJ000349,おしむ
MJ000350,エイ
MJ000350,セツ
MJ000350,セチ
MJ000350,セイ
MJ000350,ゼイ
MJ000351,コウ
MJ000351,ク
MJ000352,シュウ
